" ","Nominalus","Realus"
"1993K1",1854.400,..
"1993K2",2410.700,..
"1993K3",3249.900,..
"1993K4",3560.300,..
"1994K1",3859.000,..
"1994K2",4032.800,..
"1994K3",4489.900,..
"1994K4",4599.000,..
"1995K1",5381.441,8057.831
"1995K2",6327.752,8896.395
"1995K3",7712.433,10092.527
"1995K4",7502.831,9757.867
"1996K1",6970.891,8504.895
"1996K2",7971.293,9103.664
"1996K3",9612.278,10902.057
"1996K4",9151.890,10201.465
"1997K1",8477.428,8821.999
"1997K2",9877.652,9950.819
"1997K3",11063.944,11742.719
"1997K4",11095.846,11088.004
"1998K1",9814.592,9792.302
"1998K2",11375.384,10977.963
"1998K3",12044.815,12431.018
"1998K4",11781.431,11576.115
"1999K1",9769.150,10068.492
"1999K2",11416.728,11110.567
"1999K3",11390.351,11936.974
"1999K4",11309.210,11180.801
"2000K1",10460.465,11404.798
"2000K2",11632.526,12235.927
"2000K3",11790.893,13332.813
"2000K4",12118.639,12790.881
"2001K1",10858.984,12194.102
"2001K2",12152.919,12892.950
"2001K3",12397.809,14172.995
"2001K4",13469.785,13838.392
"2002K1",11474.109,12770.656
"2002K2",13202.430,13935.181
"2002K3",13756.758,15307.654
"2002K4",13917.749,14715.819
"2003K1",12747.093,14112.050
"2003K2",14196.333,15199.315
"2003K3",14893.357,16828.349
"2003K4",15395.648,16419.032
"2004K1",13589.759,15230.221
"2004K2",15564.235,16453.431
"2004K3",16442.281,17789.600
"2004K4",17401.095,17695.583
"2005K1",15135.145,16090.114
"2005K2",17822.738,17638.288
"2005K3",19234.319,19387.909
"2005K4",20209.741,19285.633
"2006K1",17436.476,17363.573
"2006K2",20362.329,19167.156
"2006K3",22321.085,20794.212
"2006K4",23107.259,20730.691
"2007K1",20596.723,18835.694
"2007K2",24483.792,21140.716
"2007K3",26775.651,23092.051
"2007K4",27373.128,22633.867
"2008K1",24577.195,20212.788
"2008K2",28980.753,22338.773
"2008K3",30020.570,23533.206
"2008K4",28505.176,22113.528
"2009K1",21819.622,17418.067
"2009K2",24090.203,18818.603
"2009K3",23283.825,20141.227
"2009K4",22720.341,18733.064
"2010K1",21264.151,17263.698
"2010K2",24078.921,18986.736
"2010K3",25113.427,20311.856
"2010K4",24617.761,19630.413
"2011K1",23234.206,18285.678
"2011K2",27024.433,20212.774
"2011K3",28189.233,21676.850
"2011K4",27571.564,20493.125
"2012K1",25235.341,19002.090
